compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
MGCD-265 analog,495,0.09611603,,https://pubchem.ncbi.nlm.nih.gov/#query=MGCD-265%20analog,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MGCD-265%20analog,https://www.google.com/search?q=MGCD-265%20analog%20mechanism%20of%20action
carboplatin:UNC0638 (2:1 mol/mol),495,0.06359232,,https://pubchem.ncbi.nlm.nih.gov/#query=carboplatin%3AUNC0638%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=carboplatin%3AUNC0638%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=carboplatin%3AUNC0638%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
ML050,495,0.043711837,,https://pubchem.ncbi.nlm.nih.gov/#query=ML050,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML050,https://www.google.com/search?q=ML050%20mechanism%20of%20action
CHEMBL1222381,494,0.08305233,,https://pubchem.ncbi.nlm.nih.gov/#query=CHEMBL1222381,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CHEMBL1222381,https://www.google.com/search?q=CHEMBL1222381%20mechanism%20of%20action
PL-DI,493,0.08385473,,https://pubchem.ncbi.nlm.nih.gov/#query=PL-DI,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PL-DI,https://www.google.com/search?q=PL-DI%20mechanism%20of%20action
Adavosertib,493,0.11173582,,https://pubchem.ncbi.nlm.nih.gov/#query=Adavosertib,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Adavosertib,https://www.google.com/search?q=Adavosertib%20mechanism%20of%20action
Tosedostat,492,0.08920655,,https://pubchem.ncbi.nlm.nih.gov/#query=Tosedostat,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Tosedostat,https://www.google.com/search?q=Tosedostat%20mechanism%20of%20action
Narciclasine,491,0.13935941,,https://pubchem.ncbi.nlm.nih.gov/#query=Narciclasine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Narciclasine,https://www.google.com/search?q=Narciclasine%20mechanism%20of%20action
BRD4132,491,0.06926308,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD4132,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD4132,https://www.google.com/search?q=BRD4132%20mechanism%20of%20action
BRD-K92856060,489,0.062059335,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K92856060,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K92856060,https://www.google.com/search?q=BRD-K92856060%20mechanism%20of%20action
BRD-K33199242,489,0.041994393,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K33199242,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K33199242,https://www.google.com/search?q=BRD-K33199242%20mechanism%20of%20action
BRD-K94991378,489,0.08746663,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K94991378,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K94991378,https://www.google.com/search?q=BRD-K94991378%20mechanism%20of%20action
SRT-1720,489,0.054382555,,https://pubchem.ncbi.nlm.nih.gov/#query=SRT-1720,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SRT-1720,https://www.google.com/search?q=SRT-1720%20mechanism%20of%20action
selumetinib:decitabine (4:1 mol/mol),489,0.17931074,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3Adecitabine%20%284%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3Adecitabine%20%284%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3Adecitabine%20%284%3A1%20mol/mol%29%20mechanism%20of%20action
KU 0060648,489,0.09084653,,https://pubchem.ncbi.nlm.nih.gov/#query=KU%200060648,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KU%200060648,https://www.google.com/search?q=KU%200060648%20mechanism%20of%20action
16-beta-bromoandrosterone,489,0.052363116,,https://pubchem.ncbi.nlm.nih.gov/#query=16-beta-bromoandrosterone,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=16-beta-bromoandrosterone,https://www.google.com/search?q=16-beta-bromoandrosterone%20mechanism%20of%20action
selumetinib:PLX-4032 (8:1 mol/mol),488,0.1552302,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3APLX-4032%20%288%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3APLX-4032%20%288%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3APLX-4032%20%288%3A1%20mol/mol%29%20mechanism%20of%20action
ISOX,487,0.08531128,,https://pubchem.ncbi.nlm.nih.gov/#query=ISOX,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ISOX,https://www.google.com/search?q=ISOX%20mechanism%20of%20action
N-Phthalyl-L-tryptophan,487,0.072223894,,https://pubchem.ncbi.nlm.nih.gov/#query=N-Phthalyl-L-tryptophan,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=N-Phthalyl-L-tryptophan,https://www.google.com/search?q=N-Phthalyl-L-tryptophan%20mechanism%20of%20action
Clofarabine,487,0.20624968,,https://pubchem.ncbi.nlm.nih.gov/#query=Clofarabine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Clofarabine,https://www.google.com/search?q=Clofarabine%20mechanism%20of%20action
Silmitasertib,487,0.09168043,,https://pubchem.ncbi.nlm.nih.gov/#query=Silmitasertib,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Silmitasertib,https://www.google.com/search?q=Silmitasertib%20mechanism%20of%20action
NSC23766,485,0.0821616,,https://pubchem.ncbi.nlm.nih.gov/#query=NSC23766,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NSC23766,https://www.google.com/search?q=NSC23766%20mechanism%20of%20action
BRD-A02303741,485,0.043093663,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-A02303741,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-A02303741,https://www.google.com/search?q=BRD-A02303741%20mechanism%20of%20action
L-685458,484,0.045582183,,https://pubchem.ncbi.nlm.nih.gov/#query=L-685458,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=L-685458,https://www.google.com/search?q=L-685458%20mechanism%20of%20action
Met Kinase Inhibitor,484,0.085973985,,https://pubchem.ncbi.nlm.nih.gov/#query=Met%20Kinase%20Inhibitor,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Met%20Kinase%20Inhibitor,https://www.google.com/search?q=Met%20Kinase%20Inhibitor%20mechanism%20of%20action
compound 1B,484,0.1085561,,https://pubchem.ncbi.nlm.nih.gov/#query=compound%201B,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=compound%201B,https://www.google.com/search?q=compound%201B%20mechanism%20of%20action
selumetinib:piperlongumine (8:1 mol/mol),483,0.15121526,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3Apiperlongumine%20%288%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3Apiperlongumine%20%288%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3Apiperlongumine%20%288%3A1%20mol/mol%29%20mechanism%20of%20action
BRD-K61166597,482,0.12701426,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K61166597,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K61166597,https://www.google.com/search?q=BRD-K61166597%20mechanism%20of%20action
Manumycin,482,0.08225334,,https://pubchem.ncbi.nlm.nih.gov/#query=Manumycin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Manumycin,https://www.google.com/search?q=Manumycin%20mechanism%20of%20action
Hyperforin,481,0.076017566,,https://pubchem.ncbi.nlm.nih.gov/#query=Hyperforin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Hyperforin,https://www.google.com/search?q=Hyperforin%20mechanism%20of%20action
SNS-032,481,0.14563738,,https://pubchem.ncbi.nlm.nih.gov/#query=SNS-032,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SNS-032,https://www.google.com/search?q=SNS-032%20mechanism%20of%20action
BRD8958,481,0.0424797,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD8958,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD8958,https://www.google.com/search?q=BRD8958%20mechanism%20of%20action
BRD-K55116708,480,0.10749453,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K55116708,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K55116708,https://www.google.com/search?q=BRD-K55116708%20mechanism%20of%20action
JQ-1:vorinostat (2:1 mol/mol),480,0.10508655,,https://pubchem.ncbi.nlm.nih.gov/#query=JQ-1%3Avorinostat%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JQ-1%3Avorinostat%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=JQ-1%3Avorinostat%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
PF-184,480,0.07446503,,https://pubchem.ncbi.nlm.nih.gov/#query=PF-184,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PF-184,https://www.google.com/search?q=PF-184%20mechanism%20of%20action
Tacrolimus,479,0.057969555,,https://pubchem.ncbi.nlm.nih.gov/#query=Tacrolimus,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Tacrolimus,https://www.google.com/search?q=Tacrolimus%20mechanism%20of%20action
BRD-A02303741:carboplatin (1:1 mol/mol),479,0.044742286,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-A02303741%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-A02303741%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=BRD-A02303741%3Acarboplatin%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
tanespimycin:bortezomib (250:1 mol/mol),479,0.11892966,,https://pubchem.ncbi.nlm.nih.gov/#query=tanespimycin%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=tanespimycin%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.google.com/search?q=tanespimycin%3Abortezomib%20%28250%3A1%20mol/mol%29%20mechanism%20of%20action
ML210,477,0.21050332,,https://pubchem.ncbi.nlm.nih.gov/#query=ML210,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML210,https://www.google.com/search?q=ML210%20mechanism%20of%20action
BRD-K26531177,476,0.06294179,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K26531177,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K26531177,https://www.google.com/search?q=BRD-K26531177%20mechanism%20of%20action
selumetinib:tretinoin (2:1 mol/mol),476,0.1786587,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3Atretinoin%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3Atretinoin%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3Atretinoin%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
Pevonedistat,475,0.13662986,,https://pubchem.ncbi.nlm.nih.gov/#query=Pevonedistat,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Pevonedistat,https://www.google.com/search?q=Pevonedistat%20mechanism%20of%20action
selumetinib:MK-2206 (8:1 mol/mol),474,0.14163278,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3AMK-2206%20%288%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3AMK-2206%20%288%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3AMK-2206%20%288%3A1%20mol/mol%29%20mechanism%20of%20action
NSC95397,474,0.064115,,https://pubchem.ncbi.nlm.nih.gov/#query=NSC95397,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NSC95397,https://www.google.com/search?q=NSC95397%20mechanism%20of%20action
Elocalcitol,474,0.09152382,,https://pubchem.ncbi.nlm.nih.gov/#query=Elocalcitol,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Elocalcitol,https://www.google.com/search?q=Elocalcitol%20mechanism%20of%20action
Doramapimod,474,0.063149564,,https://pubchem.ncbi.nlm.nih.gov/#query=Doramapimod,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Doramapimod,https://www.google.com/search?q=Doramapimod%20mechanism%20of%20action
Itraconazole,472,0.051524684,,https://pubchem.ncbi.nlm.nih.gov/#query=Itraconazole,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Itraconazole,https://www.google.com/search?q=Itraconazole%20mechanism%20of%20action
ML031,472,0.068338595,,https://pubchem.ncbi.nlm.nih.gov/#query=ML031,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML031,https://www.google.com/search?q=ML031%20mechanism%20of%20action
SCH-529074,468,0.04712284,,https://pubchem.ncbi.nlm.nih.gov/#query=SCH-529074,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SCH-529074,https://www.google.com/search?q=SCH-529074%20mechanism%20of%20action
YL54,467,0.040278625,,https://pubchem.ncbi.nlm.nih.gov/#query=YL54,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=YL54,https://www.google.com/search?q=YL54%20mechanism%20of%20action
selumetinib:vorinostat (8:1 mol/mol),466,0.14027254,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3Avorinostat%20%288%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3Avorinostat%20%288%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3Avorinostat%20%288%3A1%20mol/mol%29%20mechanism%20of%20action
Azd4547,461,0.10597767,,https://pubchem.ncbi.nlm.nih.gov/#query=Azd4547,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Azd4547,https://www.google.com/search?q=Azd4547%20mechanism%20of%20action
BRD-K11533227,461,0.07407989,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K11533227,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K11533227,https://www.google.com/search?q=BRD-K11533227%20mechanism%20of%20action
JQ-1:MK-0752 (1:1 mol/mol),460,0.12556146,,https://pubchem.ncbi.nlm.nih.gov/#query=JQ-1%3AMK-0752%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JQ-1%3AMK-0752%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=JQ-1%3AMK-0752%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
STF-31,460,0.16550991,,https://pubchem.ncbi.nlm.nih.gov/#query=STF-31,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=STF-31,https://www.google.com/search?q=STF-31%20mechanism%20of%20action
Compound 7d-cis,460,0.07035154,,https://pubchem.ncbi.nlm.nih.gov/#query=Compound%207d-cis,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Compound%207d-cis,https://www.google.com/search?q=Compound%207d-cis%20mechanism%20of%20action
salermide:PLX-4032 (12:1 mol/mol),459,0.06988367,,https://pubchem.ncbi.nlm.nih.gov/#query=salermide%3APLX-4032%20%2812%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=salermide%3APLX-4032%20%2812%3A1%20mol/mol%29,https://www.google.com/search?q=salermide%3APLX-4032%20%2812%3A1%20mol/mol%29%20mechanism%20of%20action
JQ-1:UNC0638 (2:1 mol/mol),458,0.13029619,,https://pubchem.ncbi.nlm.nih.gov/#query=JQ-1%3AUNC0638%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JQ-1%3AUNC0638%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=JQ-1%3AUNC0638%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
Degrasyn,457,0.061944988,,https://pubchem.ncbi.nlm.nih.gov/#query=Degrasyn,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Degrasyn,https://www.google.com/search?q=Degrasyn%20mechanism%20of%20action
PF-750,456,0.07056126,,https://pubchem.ncbi.nlm.nih.gov/#query=PF-750,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PF-750,https://www.google.com/search?q=PF-750%20mechanism%20of%20action
NPC-26,456,0.060988214,,https://pubchem.ncbi.nlm.nih.gov/#query=NPC-26,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NPC-26,https://www.google.com/search?q=NPC-26%20mechanism%20of%20action
erlotinib:PLX-4032 (2:1 mol/mol),455,0.099195816,,https://pubchem.ncbi.nlm.nih.gov/#query=erlotinib%3APLX-4032%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=erlotinib%3APLX-4032%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=erlotinib%3APLX-4032%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
AGK-2,454,0.040372163,,https://pubchem.ncbi.nlm.nih.gov/#query=AGK-2,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AGK-2,https://www.google.com/search?q=AGK-2%20mechanism%20of%20action
BRD-K71781559,453,0.045305833,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K71781559,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K71781559,https://www.google.com/search?q=BRD-K71781559%20mechanism%20of%20action
3-Cl-AHPC,453,0.12142616,,https://pubchem.ncbi.nlm.nih.gov/#query=3-Cl-AHPC,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=3-Cl-AHPC,https://www.google.com/search?q=3-Cl-AHPC%20mechanism%20of%20action
Daporinad,452,0.20785354,,https://pubchem.ncbi.nlm.nih.gov/#query=Daporinad,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Daporinad,https://www.google.com/search?q=Daporinad%20mechanism%20of%20action
vorinostat:carboplatin (1:1 mol/mol),451,0.07653062,,https://pubchem.ncbi.nlm.nih.gov/#query=vorinostat%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=vorinostat%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=vorinostat%3Acarboplatin%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
CI-976,446,0.055627394,,https://pubchem.ncbi.nlm.nih.gov/#query=CI-976,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CI-976,https://www.google.com/search?q=CI-976%20mechanism%20of%20action
AA-COCF3,445,0.075276755,,https://pubchem.ncbi.nlm.nih.gov/#query=AA-COCF3,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AA-COCF3,https://www.google.com/search?q=AA-COCF3%20mechanism%20of%20action
SID 26681509,440,0.065140046,,https://pubchem.ncbi.nlm.nih.gov/#query=SID%2026681509,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SID%2026681509,https://www.google.com/search?q=SID%2026681509%20mechanism%20of%20action
Austocystin D,435,0.19949129,,https://pubchem.ncbi.nlm.nih.gov/#query=Austocystin%20D,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Austocystin%20D,https://www.google.com/search?q=Austocystin%20D%20mechanism%20of%20action
BRD-K02251932,435,0.05705324,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K02251932,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K02251932,https://www.google.com/search?q=BRD-K02251932%20mechanism%20of%20action
Repligen 136,432,0.05765396,,https://pubchem.ncbi.nlm.nih.gov/#query=Repligen%20136,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Repligen%20136,https://www.google.com/search?q=Repligen%20136%20mechanism%20of%20action
piperlongumine:MST-312 (1:1 mol/mol),428,0.0626076,,https://pubchem.ncbi.nlm.nih.gov/#query=piperlongumine%3AMST-312%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=piperlongumine%3AMST-312%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=piperlongumine%3AMST-312%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
Methotrexate,427,0.22099438,,https://pubchem.ncbi.nlm.nih.gov/#query=Methotrexate,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Methotrexate,https://www.google.com/search?q=Methotrexate%20mechanism%20of%20action
KIN001-135,422,0.053939305,,https://pubchem.ncbi.nlm.nih.gov/#query=KIN001-135,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KIN001-135,https://www.google.com/search?q=KIN001-135%20mechanism%20of%20action
SMER-3,406,0.14381352,,https://pubchem.ncbi.nlm.nih.gov/#query=SMER-3,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SMER-3,https://www.google.com/search?q=SMER-3%20mechanism%20of%20action
WZ8040,399,0.080577865,,https://pubchem.ncbi.nlm.nih.gov/#query=WZ8040,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=WZ8040,https://www.google.com/search?q=WZ8040%20mechanism%20of%20action
Incyclinide,389,0.08262579,,https://pubchem.ncbi.nlm.nih.gov/#query=Incyclinide,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Incyclinide,https://www.google.com/search?q=Incyclinide%20mechanism%20of%20action
WZ4002,384,0.07532748,,https://pubchem.ncbi.nlm.nih.gov/#query=WZ4002,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=WZ4002,https://www.google.com/search?q=WZ4002%20mechanism%20of%20action
Omacetaxine mepesuccinate,384,0.15424274,,https://pubchem.ncbi.nlm.nih.gov/#query=Omacetaxine%20mepesuccinate,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Omacetaxine%20mepesuccinate,https://www.google.com/search?q=Omacetaxine%20mepesuccinate%20mechanism%20of%20action
PD 153035,380,0.0826031,,https://pubchem.ncbi.nlm.nih.gov/#query=PD%20153035,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PD%20153035,https://www.google.com/search?q=PD%20153035%20mechanism%20of%20action
Osi-930,379,0.07266753,,https://pubchem.ncbi.nlm.nih.gov/#query=Osi-930,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Osi-930,https://www.google.com/search?q=Osi-930%20mechanism%20of%20action
Methylstat,376,0.07114937,,https://pubchem.ncbi.nlm.nih.gov/#query=Methylstat,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Methylstat,https://www.google.com/search?q=Methylstat%20mechanism%20of%20action
Avrainvillamide,357,0.061208155,,https://pubchem.ncbi.nlm.nih.gov/#query=Avrainvillamide,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Avrainvillamide,https://www.google.com/search?q=Avrainvillamide%20mechanism%20of%20action
JW-74,353,0.05510625,,https://pubchem.ncbi.nlm.nih.gov/#query=JW-74,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JW-74,https://www.google.com/search?q=JW-74%20mechanism%20of%20action
Palmostatin B,353,0.04518664,,https://pubchem.ncbi.nlm.nih.gov/#query=Palmostatin%20B,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Palmostatin%20B,https://www.google.com/search?q=Palmostatin%20B%20mechanism%20of%20action
salermide,352,0.093837984,,https://pubchem.ncbi.nlm.nih.gov/#query=salermide,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=salermide,https://www.google.com/search?q=salermide%20mechanism%20of%20action
NSC19630,349,0.0675896,,https://pubchem.ncbi.nlm.nih.gov/#query=NSC19630,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NSC19630,https://www.google.com/search?q=NSC19630%20mechanism%20of%20action
HBX-41108,348,0.083620995,,https://pubchem.ncbi.nlm.nih.gov/#query=HBX-41108,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HBX-41108,https://www.google.com/search?q=HBX-41108%20mechanism%20of%20action
Sotrastaurin,347,0.06394889,,https://pubchem.ncbi.nlm.nih.gov/#query=Sotrastaurin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Sotrastaurin,https://www.google.com/search?q=Sotrastaurin%20mechanism%20of%20action
BRD-K55473186,341,0.05043942,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K55473186,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K55473186,https://www.google.com/search?q=BRD-K55473186%20mechanism%20of%20action
Necrosulfonamide,326,0.088354714,,https://pubchem.ncbi.nlm.nih.gov/#query=Necrosulfonamide,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Necrosulfonamide,https://www.google.com/search?q=Necrosulfonamide%20mechanism%20of%20action
Bardoxolone methyl,320,0.07625806,,https://pubchem.ncbi.nlm.nih.gov/#query=Bardoxolone%20methyl,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Bardoxolone%20methyl,https://www.google.com/search?q=Bardoxolone%20methyl%20mechanism%20of%20action
BRD-M00053801,318,0.08181833,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-M00053801,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-M00053801,https://www.google.com/search?q=BRD-M00053801%20mechanism%20of%20action
BRD-A94377914,279,0.0773619,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-A94377914,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-A94377914,https://www.google.com/search?q=BRD-A94377914%20mechanism%20of%20action
CIL70,278,0.068901464,,https://pubchem.ncbi.nlm.nih.gov/#query=CIL70,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CIL70,https://www.google.com/search?q=CIL70%20mechanism%20of%20action
CIL41,278,0.05454692,,https://pubchem.ncbi.nlm.nih.gov/#query=CIL41,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CIL41,https://www.google.com/search?q=CIL41%20mechanism%20of%20action
cyanoquinoline 11,277,0.056152236,,https://pubchem.ncbi.nlm.nih.gov/#query=cyanoquinoline%2011,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=cyanoquinoline%2011,https://www.google.com/search?q=cyanoquinoline%2011%20mechanism%20of%20action
CIL55A,276,0.06680514,,https://pubchem.ncbi.nlm.nih.gov/#query=CIL55A,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CIL55A,https://www.google.com/search?q=CIL55A%20mechanism%20of%20action
BRD-K99006945,268,0.121669464,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K99006945,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K99006945,https://www.google.com/search?q=BRD-K99006945%20mechanism%20of%20action
Skepinone-L,268,0.07236759,,https://pubchem.ncbi.nlm.nih.gov/#query=Skepinone-L,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Skepinone-L,https://www.google.com/search?q=Skepinone-L%20mechanism%20of%20action
BRD-K27188169,266,0.04164217,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K27188169,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K27188169,https://www.google.com/search?q=BRD-K27188169%20mechanism%20of%20action
Alvocidib,263,0.13232127,,https://pubchem.ncbi.nlm.nih.gov/#query=Alvocidib,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Alvocidib,https://www.google.com/search?q=Alvocidib%20mechanism%20of%20action
BRD-K79669418,261,0.04873654,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K79669418,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K79669418,https://www.google.com/search?q=BRD-K79669418%20mechanism%20of%20action
BRD-K42260513,260,0.055247363,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K42260513,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K42260513,https://www.google.com/search?q=BRD-K42260513%20mechanism%20of%20action
