compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
selumetinib:UNC0638 (4:1 mol/mol),533,0.14909157,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3AUNC0638%20%284%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3AUNC0638%20%284%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3AUNC0638%20%284%3A1%20mol/mol%29%20mechanism%20of%20action
Telomerase Inhibitor IX,532,0.060520776,,https://pubchem.ncbi.nlm.nih.gov/#query=Telomerase%20Inhibitor%20IX,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Telomerase%20Inhibitor%20IX,https://www.google.com/search?q=Telomerase%20Inhibitor%20IX%20mechanism%20of%20action
BIBR-1532,531,0.058018472,,https://pubchem.ncbi.nlm.nih.gov/#query=BIBR-1532,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BIBR-1532,https://www.google.com/search?q=BIBR-1532%20mechanism%20of%20action
PF-543,529,0.049885552,,https://pubchem.ncbi.nlm.nih.gov/#query=PF-543,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PF-543,https://www.google.com/search?q=PF-543%20mechanism%20of%20action
BRD1812,529,0.06612243,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD1812,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD1812,https://www.google.com/search?q=BRD1812%20mechanism%20of%20action
SCH-79797,529,0.091188975,,https://pubchem.ncbi.nlm.nih.gov/#query=SCH-79797,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SCH-79797,https://www.google.com/search?q=SCH-79797%20mechanism%20of%20action
decitabine:carboplatin (1:1 mol/mol),529,0.14017949,,https://pubchem.ncbi.nlm.nih.gov/#query=decitabine%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=decitabine%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=decitabine%3Acarboplatin%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
PX-12,528,0.07925596,,https://pubchem.ncbi.nlm.nih.gov/#query=PX-12,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PX-12,https://www.google.com/search?q=PX-12%20mechanism%20of%20action
Nutlin-3,528,0.08812596,,https://pubchem.ncbi.nlm.nih.gov/#query=Nutlin-3,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Nutlin-3,https://www.google.com/search?q=Nutlin-3%20mechanism%20of%20action
BRD1835,527,0.04684049,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD1835,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD1835,https://www.google.com/search?q=BRD1835%20mechanism%20of%20action
Semagacestat,527,0.042984158,,https://pubchem.ncbi.nlm.nih.gov/#query=Semagacestat,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Semagacestat,https://www.google.com/search?q=Semagacestat%20mechanism%20of%20action
apicidin,526,0.12533045,,https://pubchem.ncbi.nlm.nih.gov/#query=apicidin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=apicidin,https://www.google.com/search?q=apicidin%20mechanism%20of%20action
Unii-40E3azg1MX,526,0.091479346,,https://pubchem.ncbi.nlm.nih.gov/#query=Unii-40E3azg1MX,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Unii-40E3azg1MX,https://www.google.com/search?q=Unii-40E3azg1MX%20mechanism%20of%20action
SNX-2112:bortezomib (250:1 mol/mol),525,0.13346136,,https://pubchem.ncbi.nlm.nih.gov/#query=SNX-2112%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SNX-2112%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.google.com/search?q=SNX-2112%3Abortezomib%20%28250%3A1%20mol/mol%29%20mechanism%20of%20action
NSC48300,525,0.06647165,,https://pubchem.ncbi.nlm.nih.gov/#query=NSC48300,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NSC48300,https://www.google.com/search?q=NSC48300%20mechanism%20of%20action
carboplatin:etoposide (40:17 mol/mol),525,0.112425074,,https://pubchem.ncbi.nlm.nih.gov/#query=carboplatin%3Aetoposide%20%2840%3A17%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=carboplatin%3Aetoposide%20%2840%3A17%20mol/mol%29,https://www.google.com/search?q=carboplatin%3Aetoposide%20%2840%3A17%20mol/mol%29%20mechanism%20of%20action
ML311,525,0.09087403,,https://pubchem.ncbi.nlm.nih.gov/#query=ML311,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML311,https://www.google.com/search?q=ML311%20mechanism%20of%20action
DBeQ,524,0.05950951,,https://pubchem.ncbi.nlm.nih.gov/#query=DBeQ,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=DBeQ,https://www.google.com/search?q=DBeQ%20mechanism%20of%20action
Cerulenin,524,0.066441804,,https://pubchem.ncbi.nlm.nih.gov/#query=Cerulenin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Cerulenin,https://www.google.com/search?q=Cerulenin%20mechanism%20of%20action
Platinum,524,0.044629313,,https://pubchem.ncbi.nlm.nih.gov/#query=Platinum,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Platinum,https://www.google.com/search?q=Platinum%20mechanism%20of%20action
ML006,524,0.0574538,,https://pubchem.ncbi.nlm.nih.gov/#query=ML006,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML006,https://www.google.com/search?q=ML006%20mechanism%20of%20action
BRD-K80183349,524,0.06433314,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K80183349,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K80183349,https://www.google.com/search?q=BRD-K80183349%20mechanism%20of%20action
Erastin,524,0.13215171,,https://pubchem.ncbi.nlm.nih.gov/#query=Erastin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Erastin,https://www.google.com/search?q=Erastin%20mechanism%20of%20action
LY-2183240,523,0.08353363,,https://pubchem.ncbi.nlm.nih.gov/#query=LY-2183240,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LY-2183240,https://www.google.com/search?q=LY-2183240%20mechanism%20of%20action
BMS-270394,523,0.045484617,,https://pubchem.ncbi.nlm.nih.gov/#query=BMS-270394,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BMS-270394,https://www.google.com/search?q=BMS-270394%20mechanism%20of%20action
BRD9647,523,0.04438839,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD9647,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD9647,https://www.google.com/search?q=BRD9647%20mechanism%20of%20action
Mdivi-1,522,0.050500676,,https://pubchem.ncbi.nlm.nih.gov/#query=Mdivi-1,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Mdivi-1,https://www.google.com/search?q=Mdivi-1%20mechanism%20of%20action
selumetinib:GDC-0941 (4:1 mol/mol),522,0.14017525,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3AGDC-0941%20%284%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3AGDC-0941%20%284%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3AGDC-0941%20%284%3A1%20mol/mol%29%20mechanism%20of%20action
Compound 23 citrate,521,0.06685573,,https://pubchem.ncbi.nlm.nih.gov/#query=Compound%2023%20citrate,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Compound%2023%20citrate,https://www.google.com/search?q=Compound%2023%20citrate%20mechanism%20of%20action
BRD-K29313308,521,0.052352853,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K29313308,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K29313308,https://www.google.com/search?q=BRD-K29313308%20mechanism%20of%20action
BRD-K24690302,521,0.053888876,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K24690302,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K24690302,https://www.google.com/search?q=BRD-K24690302%20mechanism%20of%20action
ML239,521,0.07408415,,https://pubchem.ncbi.nlm.nih.gov/#query=ML239,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML239,https://www.google.com/search?q=ML239%20mechanism%20of%20action
Triazolothiadiazine,520,0.1677799,,https://pubchem.ncbi.nlm.nih.gov/#query=Triazolothiadiazine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Triazolothiadiazine,https://www.google.com/search?q=Triazolothiadiazine%20mechanism%20of%20action
Piperlongumine,519,0.07365712,,https://pubchem.ncbi.nlm.nih.gov/#query=Piperlongumine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Piperlongumine,https://www.google.com/search?q=Piperlongumine%20mechanism%20of%20action
HLI 373,519,0.04811013,,https://pubchem.ncbi.nlm.nih.gov/#query=HLI%20373,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLI%20373,https://www.google.com/search?q=HLI%20373%20mechanism%20of%20action
ML083,517,0.04037746,,https://pubchem.ncbi.nlm.nih.gov/#query=ML083,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML083,https://www.google.com/search?q=ML083%20mechanism%20of%20action
Pluripotin,517,0.1349716,,https://pubchem.ncbi.nlm.nih.gov/#query=Pluripotin,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Pluripotin,https://www.google.com/search?q=Pluripotin%20mechanism%20of%20action
CR-1-31B,517,0.17156789,,https://pubchem.ncbi.nlm.nih.gov/#query=CR-1-31B,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CR-1-31B,https://www.google.com/search?q=CR-1-31B%20mechanism%20of%20action
serdemetan:SCH-529074 (1:1 mol/mol),516,0.06361835,,https://pubchem.ncbi.nlm.nih.gov/#query=serdemetan%3ASCH-529074%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=serdemetan%3ASCH-529074%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=serdemetan%3ASCH-529074%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
BRD-K85133207,514,0.05188514,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K85133207,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K85133207,https://www.google.com/search?q=BRD-K85133207%20mechanism%20of%20action
JQ-1:carboplatin (1:1 mol/mol),514,0.12522061,,https://pubchem.ncbi.nlm.nih.gov/#query=JQ-1%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JQ-1%3Acarboplatin%20%281%3A1%20mol/mol%29,https://www.google.com/search?q=JQ-1%3Acarboplatin%20%281%3A1%20mol/mol%29%20mechanism%20of%20action
Rita,514,0.16051307,,https://pubchem.ncbi.nlm.nih.gov/#query=Rita,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Rita,https://www.google.com/search?q=Rita%20mechanism%20of%20action
