strategy,strategy_label,model_family,omics_layer,mean_pearson,mean_spearman,mean_rmse,mean_mae,mean_r2,n_folds
single_omics,Methylation,ElasticNet,meth,0.37769009390973135,0.3349673044642944,0.19305612867140545,0.1587864632483729,0.11593159133434726,60
single_omics,CNV,LightGBM,cnv,0.3478466618731992,0.3204780985643756,0.19426578472926012,0.15740515604495217,0.10394624385698428,60
single_omics,CNV,XGBoost,cnv,0.3385163587358241,0.3172051515165286,0.19448269377778435,0.15898026724218145,0.10262119465634303,60
single_omics,CNV,ElasticNet,cnv,0.1755585949718678,0.2623979818453862,0.22114853936245568,0.17394362139853026,-0.3291323619620421,60
single_omics,Mutations,ElasticNet,mut,0.1479363147701948,0.1613884026628933,0.2069609318195184,0.17173540798002992,-0.013163961024796162,60
single_omics,CNV,RidgeCV,cnv,0.14676978987031744,0.26121314208173446,0.24364979244080023,0.187216151241519,-0.4418149532212713,60
single_omics,CNV,RidgeSelectK,cnv,0.14676978987031744,0.26121314208173446,0.24364979244080023,0.187216151241519,-0.4418149532212713,60
single_omics,Mutations,RidgeCV,mut,0.10249068599360979,0.09836762247502409,0.20890248901639566,0.17255499748127626,-0.03140058931696807,60
single_omics,Mutations,RidgeSelectK,mut,0.10249068599360979,0.09836762247502409,0.20890248901639566,0.17255499748127626,-0.03140058931696807,60
single_omics,Mutations,XGBoost,mut,0.08570142176524478,0.07821091335735782,0.20742294564699376,0.17210435898961376,-0.01809782683270914,60
single_omics,Mutations,LightGBM,mut,0.07374167606290526,0.06228534358612841,0.21041970831775983,0.17381227862827572,-0.0496760599367717,60
single_omics,Proteomics,RidgeCV,prot,0.033306548022433456,0.031015678579451755,0.2141211794889001,0.17581418614446662,-0.086249181246036,60
single_omics,Proteomics,RidgeSelectK,prot,0.033306548022433456,0.031015678579451755,0.2141211794889001,0.17581418614446662,-0.086249181246036,60
single_omics,Proteomics,LightGBM,prot,0.026679626949217265,0.026999283904139793,0.2136817656490491,0.17548480683128273,-0.08077047038980628,60
single_omics,Proteomics,XGBoost,prot,0.019765183131605527,0.019897266645347324,0.2111381561837374,0.17406196476319324,-0.0542288690916323,60
single_omics,Proteomics,ElasticNet,prot,-0.01502270873534244,-0.022242010589336576,0.20818224298302265,0.17252845106977338,-0.024906534838973315,60
