compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,prot,0.008754252223297954,0.04371251387382814
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.18629089175374247,0.9818753231017838
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,meth,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,prot,0.00343878916464746,0.018124676898216133
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,cnv,0.005329592735506594,0.026342621949976126
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,expr,0.15917213150532916,0.7867414065773286
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,meth,0.03054011845961213,0.1509508952774754
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,prot,0.007276390679180622,0.0359650761952199
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,expr,0.1957000895345118,0.9031939163027469
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,meth,0.005770404706709087,0.026631538279318374
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,mut,0.0025622664397815242,0.01182535718742866
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,prot,0.012642845744267106,0.0583491882305061
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,expr,0.17680594127159566,0.87891350493115
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,meth,0.011265652254223824,0.05600226913690303
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,mut,0.0030279464554041624,0.015052113140106732
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,prot,0.010064670466817915,0.050032112791840305
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,cnv,0.02290693949908018,0.10708198044126678
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,expr,0.1732289242936531,0.809785012258818
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,meth,0.00905486405827105,0.042328342292301625
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,prot,0.008728919550776482,0.04080466500761358
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,expr,0.18629363828222267,0.9818728720184667
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meth,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,prot,0.0034393134992569685,0.018127127981533302
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,expr,0.15920101659139618,0.8015068583417476
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meth,0.032221959525486454,0.16222334569114388
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,prot,0.007204165915027261,0.03626979596710854
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,expr,0.19581240613479167,0.9146367339240353
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meth,0.005538397817872465,0.025869770926689118
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,prot,0.012736821081489325,0.059493495149275516
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,expr,0.17660326256009284,0.8908654333561676
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meth,0.011438478948548436,0.05770077719808036
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,prot,0.01019612466916442,0.051433789445752
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,expr,0.18154318223969312,0.9064896270903418
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meth,0.009972819301765412,0.049796732316616306
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,prot,0.008754555135965347,0.04371364059304196
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,expr,0.18652175218448974,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,expr,0.1792588135576807,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,expr,0.1990588107437361,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,expr,0.1828063988359645,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,expr,0.1862034242367372,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,meta,0.0,0.0
Vincristine,RidgeCV,single_omics,expr,1,expr,1.0155795844559659,1.0
Vincristine,RidgeCV,single_omics,expr,2,expr,1.0724529214260474,1.0
Vincristine,RidgeCV,single_omics,expr,3,expr,1.140368020625032,1.0
Vincristine,RidgeCV,single_omics,expr,4,expr,1.0981311642660745,1.0
Vincristine,RidgeCV,single_omics,expr,5,expr,1.100267658687867,1.0
Vincristine,RidgeCV,single_omics,mut,1,mut,1.367154823765271,1.0
Vincristine,RidgeCV,single_omics,mut,2,mut,1.406820846038245,1.0
Vincristine,RidgeCV,single_omics,mut,3,mut,1.4656081354732118,1.0
Vincristine,RidgeCV,single_omics,mut,4,mut,1.3970942684549146,1.0
Vincristine,RidgeCV,single_omics,mut,5,mut,1.4415400924856658,1.0
Vincristine,RidgeCV,single_omics,cnv,1,cnv,0.872824861282438,1.0
Vincristine,RidgeCV,single_omics,cnv,2,cnv,0.9106836874765075,1.0
Vincristine,RidgeCV,single_omics,cnv,3,cnv,0.9571721091390506,1.0
Vincristine,RidgeCV,single_omics,cnv,4,cnv,0.9273969558082029,1.0
Vincristine,RidgeCV,single_omics,cnv,5,cnv,0.9513227477661441,1.0
Vincristine,RidgeCV,single_omics,meth,1,meth,1.2105609983014718,1.0
Vincristine,RidgeCV,single_omics,meth,2,meth,1.2909308454631145,1.0
Vincristine,RidgeCV,single_omics,meth,3,meth,1.3336030369449634,1.0
Vincristine,RidgeCV,single_omics,meth,4,meth,1.308760726188718,1.0
Vincristine,RidgeCV,single_omics,meth,5,meth,1.3345823254191655,1.0
Vincristine,RidgeCV,single_omics,prot,1,prot,1.310332912076186,1.0
Vincristine,RidgeCV,single_omics,prot,2,prot,1.35487646370901,1.0
Vincristine,RidgeCV,single_omics,prot,3,prot,1.3997463951300877,1.0
Vincristine,RidgeCV,single_omics,prot,4,prot,1.3710192932197434,1.0
Vincristine,RidgeCV,single_omics,prot,5,prot,1.3912440787985572,1.0
Vincristine,RidgeCV,early_fusion,multiomics,1,cnv,0.326193039848747,0.14331507366821108
Vincristine,RidgeCV,early_fusion,multiomics,1,expr,0.4861530613121006,0.2135945691185712
Vincristine,RidgeCV,early_fusion,multiomics,1,meth,0.5335585274155165,0.23442247479686895
Vincristine,RidgeCV,early_fusion,multiomics,1,mut,0.49493145838928326,0.21745141604696858
Vincristine,RidgeCV,early_fusion,multiomics,1,prot,0.43521926087527074,0.19121646636938014
Vincristine,RidgeCV,early_fusion,multiomics,2,cnv,0.31405062577635556,0.13746797262831031
Vincristine,RidgeCV,early_fusion,multiomics,2,expr,0.5070098750519498,0.22193115983649767
Vincristine,RidgeCV,early_fusion,multiomics,2,meth,0.5291561741902434,0.23162516008322642
Vincristine,RidgeCV,early_fusion,multiomics,2,mut,0.49522698592778724,0.21677348859926127
Vincristine,RidgeCV,early_fusion,multiomics,2,prot,0.4390930189208666,0.19220221885270433
Vincristine,RidgeCV,early_fusion,multiomics,3,cnv,0.3555022584561203,0.1434729517300687
Vincristine,RidgeCV,early_fusion,multiomics,3,expr,0.542737323587218,0.21903693711343014
Vincristine,RidgeCV,early_fusion,multiomics,3,meth,0.5611804169555001,0.2264801670272769
Vincristine,RidgeCV,early_fusion,multiomics,3,mut,0.5328987492468946,0.2150663032627421
Vincristine,RidgeCV,early_fusion,multiomics,3,prot,0.48551595278533943,0.19594364086648203
Vincristine,RidgeCV,early_fusion,multiomics,4,cnv,0.3513860915666179,0.1476283142698581
Vincristine,RidgeCV,early_fusion,multiomics,4,expr,0.5185389069077699,0.2178544528294625
Vincristine,RidgeCV,early_fusion,multiomics,4,meth,0.5384287392388563,0.22621079500867966
Vincristine,RidgeCV,early_fusion,multiomics,4,mut,0.50476609705078,0.2120680635820064
Vincristine,RidgeCV,early_fusion,multiomics,4,prot,0.46708814433881596,0.19623837430999336
Vincristine,RidgeCV,early_fusion,multiomics,5,cnv,0.3665782583519361,0.15301831494067505
Vincristine,RidgeCV,early_fusion,multiomics,5,expr,0.5112207461316534,0.2133954629155302
Vincristine,RidgeCV,early_fusion,multiomics,5,meth,0.5269294927452126,0.21995266013569145
Vincristine,RidgeCV,early_fusion,multiomics,5,mut,0.5230270015134924,0.21832366927564079
Vincristine,RidgeCV,early_fusion,multiomics,5,prot,0.46789405794023625,0.1953098927324624
Vincristine,RidgeCV,signal_fusion,signal_multiomics,1,expr,0.6457699751752272,0.3328483055862326
Vincristine,RidgeCV,signal_fusion,signal_multiomics,1,meth,0.7040899970299093,0.3629081120224419
Vincristine,RidgeCV,signal_fusion,signal_multiomics,1,prot,0.5902730083063853,0.30424358239132565
Vincristine,RidgeCV,signal_fusion,signal_multiomics,2,expr,0.6478020746032683,0.3307207560772538
Vincristine,RidgeCV,signal_fusion,signal_multiomics,2,meth,0.7076385000667745,0.36126889515564503
Vincristine,RidgeCV,signal_fusion,signal_multiomics,2,prot,0.6033178724470373,0.3080103487671011
Vincristine,RidgeCV,signal_fusion,signal_multiomics,3,expr,0.7061522428347566,0.336149106895637
Vincristine,RidgeCV,signal_fusion,signal_multiomics,3,meth,0.7427437125926142,0.3535677159900796
Vincristine,RidgeCV,signal_fusion,signal_multiomics,3,prot,0.6518153906658175,0.31028317711428344
