compound,model_family,strategy,omics_layer,strategy_label,pearson,rmse,r2,single_model_family,single_omics_layer,best_single_pearson,best_single_rmse,best_single_r2,pearson_gain_vs_best_single,rmse_delta_vs_best_single
"1S,3R-RSL-3",RidgeSelectK,signal_fusion,signal_multiomics,Focused fusion,0.5850851773309452,0.1670192657540625,0.3263581124166852,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,0.013646161369767151,-0.0017309294655662444
"1S,3R-RSL-3",RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.581353519636571,0.16747653578390467,0.3226814896576404,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,0.009914503675392927,-0.0012736594357240782
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,multiomics,Learned late fusion,0.5728679980233007,0.16832995304338658,0.3156423793879558,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,0.001428982062122608,-0.00042024217624217486
"1S,3R-RSL-3",RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,Learned late fusion,0.5728679980233007,0.16832995304338658,0.3156423793879558,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,0.001428982062122608,-0.00042024217624217486
"1S,3R-RSL-3",RidgeSelectK,metadata_augmented,expr_plus_lineage,Expression + lineage,0.570738546786758,0.16893544625481524,0.3115417959905872,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.0007004691744201264,0.00018525103518649
"1S,3R-RSL-3",RidgeCV,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5695588740201899,0.16900563917408923,0.3108209899961471,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.001880141940988178,0.00025544395446047696
"1S,3R-RSL-3",RidgeCV,signal_fusion,signal_multiomics,Focused fusion,0.5457464304363032,0.1718676205220585,0.2874673166816596,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.025692585524874856,0.003117425302429755
"1S,3R-RSL-3",RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.543398275470724,0.1721554648190246,0.2852121993395017,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.02804074049045413,0.003405269599395855
"1S,3R-RSL-3",LightGBM,early_fusion,multiomics,Early fusion,0.5421352665133272,0.1731089204547665,0.2770510016936347,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.029303749447850858,0.00435872523513775
"1S,3R-RSL-3",LightGBM,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5341478373861605,0.17360797400120503,0.2725746193496349,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.037291178575017625,0.004857778781576283
"1S,3R-RSL-3",LightGBM,signal_fusion,signal_multiomics,Focused fusion,0.5327460664566533,0.1739314105278138,0.2699494532691828,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.03869294950452473,0.00518121530818505
"1S,3R-RSL-3",LightGBM,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5292403221870648,0.1745722698661349,0.26371964310697427,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.04219869377411323,0.005822074646506137
