ModelID,expr::cell_cycle_mitosis,expr::microtubule_spindle,expr::apoptosis,expr::dna_damage_repair,expr::mapk_signaling,expr::pi3k_akt_mtor,expr::emt_adhesion,expr::oxidative_stress_ferroptosis,expr::proteasome_er_stress,expr::chromatin_hdac,expr::drug_transport_metabolism,expr::receptor_tyrosine_kinase,expr::global_mean,expr::global_abs_mean,mut::cell_cycle_mitosis,mut::microtubule_spindle,mut::apoptosis,mut::dna_damage_repair,mut::mapk_signaling,mut::pi3k_akt_mtor,mut::emt_adhesion,mut::oxidative_stress_ferroptosis,mut::proteasome_er_stress,mut::chromatin_hdac,mut::drug_transport_metabolism,mut::receptor_tyrosine_kinase,mut::global_mean,mut::global_abs_mean,cnv::cell_cycle_mitosis,cnv::microtubule_spindle,cnv::apoptosis,cnv::dna_damage_repair,cnv::mapk_signaling,cnv::pi3k_akt_mtor,cnv::emt_adhesion,cnv::oxidative_stress_ferroptosis,cnv::proteasome_er_stress,cnv::chromatin_hdac,cnv::drug_transport_metabolism,cnv::receptor_tyrosine_kinase,cnv::global_mean,cnv::global_abs_mean,meth::cell_cycle_mitosis,meth::microtubule_spindle,meth::apoptosis,meth::dna_damage_repair,meth::mapk_signaling,meth::pi3k_akt_mtor,meth::emt_adhesion,meth::oxidative_stress_ferroptosis,meth::proteasome_er_stress,meth::chromatin_hdac,meth::drug_transport_metabolism,meth::receptor_tyrosine_kinase,meth::global_mean,meth::global_abs_mean,prot::cell_cycle_mitosis,prot::microtubule_spindle,prot::apoptosis,prot::dna_damage_repair,prot::mapk_signaling,prot::pi3k_akt_mtor,prot::emt_adhesion,prot::oxidative_stress_ferroptosis,prot::proteasome_er_stress,prot::chromatin_hdac,prot::drug_transport_metabolism,prot::receptor_tyrosine_kinase,prot::global_mean,prot::global_abs_mean
ACH-000550,0.0,0.2947861,0.06256563,-1.6356846,0.35439748,0.0,0.8772832,0.4473004,-0.50083923,-0.4062767,0.45909512,-0.10637152,0.17867197,0.68662035,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.5548157,0.77980304,-0.1931242,-0.059338212,0.0767997,-0.034198176,0.39523542,-0.16740353,-0.19572312,0.6652195,0.25346595,-0.10548026,-0.0149368085,0.5152669,0.028500607,-0.2933642,-0.31109253,-0.45469278,-0.32575688,0.16372848,-1.2658124,-1.3157274,-0.22863632,-0.58926463,-0.5617857,0.040356126,-0.025001127,0.88358223,-0.17297797,0.12420794,-0.19871804,-0.60999346,-0.07841394,-0.24484977,0.02854725,0.44308424,0.54904586,0.087343454,-1.168628,-0.73147774,0.2123857,0.68698215
ACH-000551,0.0,-0.78842247,0.035634696,-0.96420336,-1.3854504,0.0,-0.06236653,0.099362664,1.4536138,-0.11081632,-0.6090307,-0.633118,-0.18356816,0.90473896,0.0,0.0,0.0,0.2,0.0,0.0,0.33333334,0.0,0.0,0.2,0.0,0.16666667,0.098,0.098,-0.16989923,-0.46277,-0.5141045,0.28398114,1.2810023,-0.16280912,-0.55120105,-0.043493442,-0.08167542,0.4720765,0.14507037,-0.025122074,-0.03271561,0.6104924,-0.93092865,-0.28631127,0.3052594,-0.057434347,-0.63979536,-0.17059866,-0.6341615,0.021719009,-2.1463873,-0.22637145,-0.9815754,-0.7458505,-0.4109705,0.85449123,-0.27187306,-0.080267526,0.09621437,0.46454358,0.03599968,-0.13212962,-0.3405385,0.2665538,0.33089542,-0.037990563,-0.65822405,1.5978463,0.04505158,0.66202426
ACH-000557,0.0,-0.91696924,-0.19869079,-1.543817,-0.84313715,0.0,-0.27509093,-0.48654175,0.01763159,0.9373728,-0.498711,-0.9151632,-0.21628293,0.97868246,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.036,-0.07207159,-0.6447599,-0.20885457,-0.15570956,-0.0888318,-0.12531835,-0.27758878,0.12867022,-0.26464027,-0.566894,-0.6078337,-0.13693704,-0.15761234,0.5006824,0.17637974,0.23646456,-0.4472062,-0.13343947,0.22571933,1.2150407,0.5233629,0.07386878,-0.21153653,0.18682654,-0.18211494,1.2037216,0.4680006,0.9393242,-0.3334533,-0.18882844,-0.4509987,-0.16223532,-0.59804475,0.91951114,-0.4676466,0.3267469,-1.7380958,-1.022788,-1.4142226,-1.1340414,-0.3661617,0.8237557
ACH-000568,0.0,-1.0595496,-1.369826,-0.6519989,0.3562042,0.0,-0.79555607,-1.1435119,1.1906263,-0.47818398,-0.14064005,0.46348608,-0.046049852,0.7895538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.063,0.063,2.1348655,1.1057177,0.26154876,0.19414675,0.6076264,-0.22271588,-0.099987246,-0.39863157,0.09637088,-1.1970664,-1.073431,0.5795969,0.43440852,1.0538338,-0.42341816,0.011306666,0.88139474,0.17341371,-0.14189406,-0.88141704,0.11592862,1.0458562,-0.08949409,0.5855917,-0.18211494,-0.061004244,0.046482664,0.8308662,0.49779788,0.5616663,0.29214448,1.0459565,-0.48631814,-0.1338152,0.273732,-0.7273866,0.40701166,0.16511309,0.3361753,-0.933561,0.0680877,0.681674
ACH-000570,0.0,1.1820129,-0.47150767,1.2735963,0.28776142,0.0,1.0377557,0.10410177,-0.46950242,-0.04193214,-0.013228625,0.2122781,0.28353217,0.76311964,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.068,0.060583025,0.024522543,-0.041078325,-0.09583649,-0.06793144,-0.22220123,-0.016084563,0.14124346,-0.029188031,0.5639872,0.46952352,0.11929718,-0.0013672702,0.49334323,0.1804333,-0.14455503,0.98506236,-0.08817626,-0.5703565,0.18773143,-0.42465118,-0.58111495,0.2749787,1.0438821,0.7213455,-0.36704886,-0.024352103,0.6819614,-1.1591895,-0.93479884,0.49594796,-0.23333655,0.026949313,0.65352404,-1.0892078,-0.46592224,0.17701972,-0.77212393,-2.6785684,-1.6558032,0.17789815,0.874591
ACH-000572,0.0,0.29504856,0.1708563,-1.0955273,0.017985003,0.0,0.41406333,0.30031437,0.091964446,-0.3071074,0.22398032,-0.2703268,0.08143382,0.76392007,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.33333334,0.098,0.098,0.10278969,-0.09033364,0.50090605,-1.0913355,0.087856695,0.19514757,0.10246287,-0.08831946,0.27509245,0.79490536,1.0826766,0.25001675,0.17901736,0.68099445,0.07865681,0.09167925,-0.7889912,0.37636518,-0.34419945,-1.0704124,-0.34711266,-1.3157274,-0.2440301,0.038765565,-0.42394528,-0.35210642,-0.29005823,0.7268599,0.26508877,0.3364023,1.0811595,1.0079414,0.047112685,-2.9228878,-0.6644786,-1.0099751,0.4163739,-0.7796113,-2.3145487,0.098634824,-0.123233296,0.81561077
ACH-000574,0.0,0.034392245,0.35733375,1.0764974,0.19763948,0.0,-0.16542788,-0.24426925,-0.5011592,0.708226,-0.48189446,0.22167435,-0.02077356,0.6567131,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.034,0.9377257,1.0695505,0.22772713,1.1762514,-0.25656053,0.71547425,0.022650113,3.156767,-0.4685334,0.399403,-0.18477489,-0.079776265,0.26715633,0.86196846,-0.5417737,0.1417786,0.2393756,0.4959165,0.09068215,0.05679208,-0.21388793,1.5237043,0.30936137,0.1603548,1.0189955,-0.32429537,0.09216614,0.73907393,-0.6043105,0.1649625,0.18125406,0.60607344,0.41670227,-0.2723426,-0.6011201,0.060970355,0.21793006,0.3913334,-0.00663855,1.7501248,-0.014190796,0.7854448
ACH-000576,0.0,-1.652957,0.16363709,0.83931917,-0.99174166,0.0,-0.83622295,0.03846389,1.2499194,-2.7052143,-0.58780384,-0.963513,-0.5292541,1.0086604,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.082,0.082,-0.39548212,-0.76762044,0.096242815,0.40357772,-0.122014694,-0.34593874,-0.70729,-0.24919192,-0.22024147,-0.04421248,-0.40199268,0.045915294,-0.08906052,0.47571293,0.54208046,0.42425916,0.7250491,0.41379833,0.92709064,0.11521,0.5378603,-0.17843632,0.44029775,-0.47368062,0.5761684,1.5035486,0.48064086,0.9611293,0.48225424,-0.51645905,-0.27866602,0.75087106,-0.5196568,0.80104375,-0.68467146,-0.7706303,-0.5677561,0.696679,0.48760813,-2.0430205,-0.11564002,0.6646106
ACH-000579,0.0,0.14457168,0.07467025,-0.40765646,0.036938723,0.0,0.12307461,0.37957773,0.38217792,0.2825727,0.2514428,-0.4057589,0.035153866,0.7575802,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.078,-0.25325602,0.22942033,0.012811387,0.51533586,-0.21283782,-0.34161568,0.31051573,-0.37732786,-0.18438815,0.2550711,-0.16874416,-0.18738182,0.029092962,0.43807805,-0.5302381,0.24404882,-0.1866669,-0.6394384,-0.9402924,-1.0296446,-0.63918555,-1.3157274,-0.44062808,-0.45601523,-0.9815754,-0.7190112,-0.30454195,1.0266379,-0.9861668,-1.857338,-0.96300393,-2.865264,-2.318457,-0.6990452,-0.67320365,-1.4317713,-2.9092567,-0.8685629,-1.6491041,-0.21701267,-0.88292545,1.3851188
ACH-000582,0.0,-0.6186011,-0.86294794,-0.9205638,0.19105509,0.0,-0.08184389,-0.039439257,0.22094417,0.15307513,0.40676594,-0.21311034,-0.06744291,0.7257194,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.074,-0.22293043,-0.36814868,-0.51945627,0.27225363,0.048588216,-0.28203508,-0.16181788,0.5263333,-0.107919864,0.6177584,0.8697234,0.025816858,0.06892853,0.56675935,-0.44132972,0.120394886,0.2327597,-0.19273452,-0.50268066,-0.054840088,0.030412706,-0.36177507,-0.6919067,0.5777954,0.43525013,-0.51183426,0.21730417,0.74282014,0.24073441,-0.4976814,-0.93386537,-0.9767063,0.8906314,0.19726878,0.8223846,-0.77398527,-0.70796305,-0.19468588,0.64451414,2.2879589,-0.33047628,0.84373885
