Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,moa_class,library
gs_ind_0,alpha-Linolenic acid metabolism,1/2,0.021287310365956994,0.16178355878127315,94.01694915254237,361.9317974849348,PLAAT3,Cytoskeleton/cell cycle,KEGG
gs_ind_0,p53 signaling pathway,1/21,0.20284291951614766,0.41178874357570006,6.832162050434063,10.899507957226028,THBS1,Cytoskeleton/cell cycle,KEGG
gs_ind_0,Actin Crosslink Formation (GO:0051764),1/4,0.042136264660081545,0.18577859322170806,40.26392251815981,127.50966273621823,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Actin Filament Bundle Assembly (GO:0051017),1/12,0.12132046229014064,0.22006967578211556,12.218865143699336,25.773494005998238,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Actin Filament Bundle Organization (GO:0061572),1/12,0.12132046229014064,0.22006967578211556,12.218865143699336,25.773494005998238,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Actin Filament Capping (GO:0051693),1/9,0.09239766755109105,0.19799500189519512,16.549351944167498,39.414822702220405,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Actin Filament Organization (GO:0007015),1/39,0.34452412055680565,0.38721731128862885,3.6141316310807836,3.8511867708236736,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Acylglycerol Metabolic Process (GO:0006639),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),2/21,0.020486724634220584,0.18577859322170806,12.395411605937921,48.19308987368141,MC3R;ADGRG1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),2/27,0.032912852164738514,0.18577859322170806,9.458204334365325,32.289288623966065,MC3R;ADGRG1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Adult Locomotory Behavior (GO:0008344),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,FOXA2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Ameboidal-Type Cell Migration (GO:0001667),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,AMOTL2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Apoptotic Cell Clearance (GO:0043277),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Barbed-End Actin Filament Capping (GO:0051016),1/9,0.09239766755109105,0.19799500189519512,16.549351944167498,39.414822702220405,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Blood Circulation (GO:0008015),1/9,0.09239766755109105,0.19799500189519512,16.549351944167498,39.414822702220405,MYOF,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Brain Development (GO:0007420),1/50,0.4187728932273862,0.4524139289714144,2.799691833590139,2.436926039223872,ADGRG1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cell Cycle G1/S Phase Transition (GO:0044843),1/13,0.13076186133430107,0.2207667788760927,11.23728813559322,22.860885722554244,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cell-Matrix Adhesion (GO:0007160),1/39,0.34452412055680565,0.38721731128862885,3.6141316310807836,3.8511867708236736,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Component Assembly (GO:0022607),1/60,0.47916615360065257,0.5023516126458454,2.320609599772112,1.7072907358310943,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Component Disassembly (GO:0022411),1/17,0.16755624278941936,0.24941578125142577,8.500770416024654,15.186084052039565,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Component Maintenance (GO:0043954),1/4,0.042136264660081545,0.18577859322170806,40.26392251815981,127.50966273621823,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Response To Chemical Stress (GO:0062197),1/17,0.16755624278941936,0.24941578125142577,8.500770416024654,15.186084052039565,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Response To Heat (GO:0034605),1/7,0.07260681135934059,0.18752752602743597,21.65710560625815,56.800015965409045,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Response To Oxidative Stress (GO:0034599),1/24,0.2283545167690002,0.2998594664643437,5.953479985575189,8.792432396582589,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cellular Response To Superoxide (GO:0071451),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Central Nervous System Development (GO:0007417),1/76,0.563383400894789,0.5766916702072643,1.8180491637669771,1.0431873133104856,ADGRG1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Chemical Synaptic Transmission (GO:0007268),1/42,0.3656365852253187,0.4051087165848702,3.349193383704309,3.369674958571935,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cilium Assembly (GO:0060271),1/33,0.3002427265311326,0.3495363084989305,4.290743155149935,5.162467882129613,ABLIM3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cilium Organization (GO:0044782),1/31,0.28484980927774256,0.33766390765446685,4.575437621561544,5.745803555628402,ABLIM3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cytoplasmic Sequestering Of Protein (GO:0051220),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,MDFI,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Cytoplasmic Sequestering Of Transcription Factor (GO:0042994),1/4,0.042136264660081545,0.18577859322170806,40.26392251815981,127.50966273621823,MDFI,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",1/4,0.042136264660081545,0.18577859322170806,40.26392251815981,127.50966273621823,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Dendritic Cell Migration (GO:0036336),1/5,0.05239909039586638,0.18577859322170806,31.305084745762713,92.31450149469747,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Dendritic Spine Maintenance (GO:0097062),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Dendritic Spine Organization (GO:0097061),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Dopaminergic Neuron Differentiation (GO:0071542),1/5,0.05239909039586638,0.18577859322170806,31.305084745762713,92.31450149469747,FOXA2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Dorsal/Ventral Pattern Formation (GO:0009953),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,MDFI,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Embryonic Eye Morphogenesis (GO:0048048),1/7,0.07260681135934059,0.18752752602743597,21.65710560625815,56.800015965409045,MFAP2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Embryonic Organ Morphogenesis (GO:0048562),1/17,0.16755624278941936,0.24941578125142577,8.500770416024654,15.186084052039565,MFAP2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),1/7,0.07260681135934059,0.18752752602743597,21.65710560625815,56.800015965409045,KDELR3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Engulfment Of Apoptotic Cell (GO:0043652),1/1,0.010699001426533523,0.18577859322170806,282.1525423728813,1280.2967493643682,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Epithelial Cell Differentiation (GO:0030855),1/44,0.37934473690150783,0.4191060832622891,3.1928696668614847,3.094880149673684,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Erythrocyte Differentiation (GO:0030218),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,MYB,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Ether Lipid Metabolic Process (GO:0046485),1/1,0.010699001426533523,0.18577859322170806,282.1525423728813,1280.2967493643682,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Exit From Mitosis (GO:0010458),1/1,0.010699001426533523,0.18577859322170806,282.1525423728813,1280.2967493643682,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Exocytosis (GO:0006887),1/14,0.1401051591343623,0.22672619113029585,10.401129943502825,20.44198556529661,SYTL2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Eye Morphogenesis (GO:0048592),1/11,0.11177996785246573,0.213696997365008,13.387409200968523,29.334797783349753,MFAP2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Fat-Soluble Vitamin Metabolic Process (GO:0006775),1/4,0.042136264660081545,0.18577859322170806,40.26392251815981,127.50966273621823,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,MC3R,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),1/14,0.1401051591343623,0.22672619113029585,10.401129943502825,20.44198556529661,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Golgi Vesicle Transport (GO:0048193),1/18,0.17651688603172916,0.2559166749158899,8.012106537530267,13.895706721930125,KDELR3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Hemopoiesis (GO:0030097),1/26,0.2449218390426204,0.3111384925948598,5.482552342971087,7.71294314451062,MYB,Cytoskeleton/cell cycle,GO_BP
