model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics
RidgeCV,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.025650134432653626,0.0,0.025650134432653626,0.0381194530408831
RidgeSelectK,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.025650134432653626,0.0,0.025650134432653626,0.0381194530408831
RidgeCV,metadata_augmented,expr_plus_lineage,0.5583751515073305,0.2981166956612475,0.17167544010054375,60,0.584585576114709,0.33668836296830656,0.16824668284482275,60.0,0.584585576114709,0.33668836296830656,0.16824668284482275,60.0,0.026210424607378435,0.0,0.026210424607378435,0.03857166730705908
RidgeSelectK,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.2975462659373495,0.1717324491634191,60,0.5845009929670585,0.336589125742338,0.1682660630528938,60.0,0.5845009929670585,0.336589125742338,0.1682660630528938,60.0,0.026654238384995033,0.0,0.026654238384995033,0.039042859804988506
RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.026695758761524302,0.0,0.026695758761524302,0.036869821039969164
RidgeCV+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.026695758761524302,0.0,0.026695758761524302,0.036869821039969164
LightGBM,metadata_augmented,expr_plus_lineage,0.528320599650414,0.2681170673545706,0.17547243217190814,60,0.5689673207131402,0.3218039140605402,0.17007584212752977,60.0,0.5689673207131402,0.3218039140605402,0.17007584212752977,60.0,0.040646721062726154,0.0,0.040646721062726154,0.053686846705969626
LightGBM,single_omics,expr,0.5297135057765686,0.26943741511902464,0.17530841344076137,60,0.5675643600356625,0.32092728012563804,0.17024602979178877,60.0,0.5675643600356625,0.32092728012563804,0.17024602979178877,60.0,0.03785085425909385,0.0,0.03785085425909385,0.0514898650066134
XGBoost,early_fusion,multiomics,0.5346956953416021,0.26930165225253966,0.1753378075546886,60,0.5672925635951845,0.31317787471745345,0.17144164535744874,60.0,0.5672925635951845,0.31317787471745345,0.17144164535744874,60.0,0.032596868253582434,0.0,0.032596868253582434,0.043876222464913794
XGBoost,early_fusion_lineage,multiomics_plus_lineage,0.5320234803795196,0.26699472890142967,0.17561042888167658,60,0.5655773477786108,0.3113748042985541,0.17161813508017332,60.0,0.5655773477786108,0.3113748042985541,0.17161813508017332,60.0,0.033553867399091164,0.0,0.033553867399091164,0.04438007539712441
XGBoost,single_omics,expr,0.5342212505670381,0.2709171627681207,0.17518121944638398,60,0.5655434177770652,0.313170464750642,0.17141640509731404,60.0,0.5655434177770652,0.313170464750642,0.17141640509731404,60.0,0.03132216721002712,0.0,0.03132216721002712,0.04225330198252125
XGBoost,metadata_augmented,expr_plus_lineage,0.5330782012636537,0.27059357568311365,0.1752018296620162,60,0.5654343830971011,0.3127165155628393,0.17151565788880113,60.0,0.5654343830971011,0.3127165155628393,0.17151565788880113,60.0,0.03235618183344746,0.0,0.03235618183344746,0.04212293987972565
LightGBM,early_fusion_lineage,multiomics_plus_lineage,0.5253797386848444,0.2649994999001139,0.17570961234353025,60,0.5647494430194478,0.3177820119536908,0.17059752996842636,60.0,0.5647494430194478,0.3177820119536908,0.17059752996842636,60.0,0.039369704334603406,0.0,0.039369704334603406,0.052782512053576924
LightGBM,early_fusion,multiomics,0.5274845641825642,0.26720848354005683,0.1754565837559977,60,0.563681919409581,0.31658587434036445,0.17071812800191036,60.0,0.563681919409581,0.31658587434036445,0.17071812800191036,60.0,0.036197355227016836,0.0,0.036197355227016836,0.04937739080030762
XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5277355134723828,0.2624292086827114,0.1761581628517168,60,0.5632094786825071,0.3096702861553066,0.1718811730460728,60.0,0.5632094786825071,0.3096702861553066,0.1718811730460728,60.0,0.03547396521012436,0.0,0.03547396521012436,0.047241077472595205
RidgeCV,signal_fusion,signal_multiomics,0.5228013752864938,0.25561334146219516,0.17682251200426585,60,0.562916051221666,0.3109111725108457,0.17145840065222398,60.0,0.562916051221666,0.3109111725108457,0.17145840065222398,60.0,0.04011467593517215,0.0,0.04011467593517215,0.05529783104865055
RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5219943354121174,0.25451461806092057,0.17694508299299566,60,0.5628004215598078,0.3104470502227264,0.171525026550889,60.0,0.5628004215598078,0.3104470502227264,0.171525026550889,60.0,0.040806086147690435,0.0,0.040806086147690435,0.05593243216180582
RidgeSelectK,signal_fusion,signal_multiomics,0.5171092832394361,0.2494094470306812,0.17743767446407302,60,0.5621255306720907,0.3105724602414941,0.17170114889964355,60.0,0.5621255306720907,0.3105724602414941,0.17170114889964355,60.0,0.045016247432654644,0.0,0.045016247432654644,0.06116301321081291
RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5171809225907327,0.24951386496410696,0.17743934772692202,60,0.5619155223018003,0.31028760179833575,0.1716977426681795,60.0,0.5619155223018003,0.31028760179833575,0.1716977426681795,60.0,0.044734599711067635,0.0,0.044734599711067635,0.06077373683422879
LightGBM,signal_fusion,signal_multiomics,0.5216867706091101,0.26087999476554136,0.17634407170140365,60,0.5615613885639702,0.31356533965398253,0.1711915526424881,60.0,0.5615613885639702,0.31356533965398253,0.1711915526424881,60.0,0.039874617954860136,0.0,0.039874617954860136,0.05268534488844118
XGBoost,signal_fusion,signal_multiomics,0.5271958381902344,0.2627330975878878,0.17615016273975317,60,0.5604624427323558,0.3072776689496448,0.17217196552995181,60.0,0.5604624427323558,0.3072776689496448,0.17217196552995181,60.0,0.03326660454212138,0.0,0.03326660454212138,0.04454457136175699
LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5194959915604943,0.25837929924555775,0.17658831098587482,60,0.558586635399704,0.31048950837978023,0.17158620199050556,60.0,0.558586635399704,0.31048950837978023,0.17158620199050556,60.0,0.03909064383920968,0.0,0.03909064383920968,0.052110209134222485
XGBoost,late_fusion,multiomics,0.5153637980789935,0.16130683406652266,0.18827834736578836,60,0.5585100097510086,0.22968221970462724,0.1821363819829709,60.0,0.5585100097510086,0.22968221970462724,0.1821363819829709,60.0,0.043146211672015156,0.0,0.043146211672015156,0.06837538563810458
LightGBM,late_fusion,multiomics,0.5097801275393782,0.17990091347764894,0.18613904881073892,60,0.5570329335982692,0.2539474746597243,0.17911510668557945,60.0,0.5570329335982692,0.2539474746597243,0.17911510668557945,60.0,0.04725280605889104,0.0,0.04725280605889104,0.07404656118207534
ElasticNet,single_omics,expr,0.5251295011002769,0.24356534452892506,0.17818398772152727,60,0.5560088160949008,0.28948889534863465,0.17418648707418827,60.0,0.5560088160949008,0.28948889534863465,0.17418648707418827,60.0,0.03087931499462393,0.0,0.03087931499462393,0.045923550819709585
