compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,expr,0.17825732873825473,1.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meta,0.0,0.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,expr,0.16852696461137384,1.0
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,expr,0.17142632263130508,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,expr,0.18304228695342317,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,expr,0.1804784771084087,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,expr,0.17825732873825473,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,meta,0.0,0.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,expr,0.16852696461137384,1.0
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,meta,0.0,0.0
Vincristine,RidgeCV,single_omics,expr,1,expr,1.2703309125522013,1.0
Vincristine,RidgeCV,single_omics,expr,2,expr,1.2057171530962496,1.0
Vincristine,RidgeCV,single_omics,expr,3,expr,1.253979623515894,1.0
Vincristine,RidgeCV,single_omics,expr,4,expr,1.2713087515959016,1.0
Vincristine,RidgeCV,single_omics,expr,5,expr,1.2559006559298729,1.0
Vincristine,RidgeCV,single_omics,mut,1,mut,1.7445709298966854,1.0
Vincristine,RidgeCV,single_omics,mut,2,mut,1.7021025496682214,1.0
Vincristine,RidgeCV,single_omics,mut,3,mut,1.7247902406547888,1.0
Vincristine,RidgeCV,single_omics,mut,4,mut,1.7658969879728021,1.0
Vincristine,RidgeCV,single_omics,mut,5,mut,1.707582092465752,1.0
Vincristine,RidgeCV,single_omics,cnv,1,cnv,1.0304301272147136,1.0
Vincristine,RidgeCV,single_omics,cnv,2,cnv,0.9957577979094101,1.0
Vincristine,RidgeCV,single_omics,cnv,3,cnv,1.0889632703554257,1.0
Vincristine,RidgeCV,single_omics,cnv,4,cnv,1.0748965282523113,1.0
Vincristine,RidgeCV,single_omics,cnv,5,cnv,1.0266789107821261,1.0
Vincristine,RidgeCV,early_fusion,multiomics,1,cnv,0.555108042949504,0.2321475354447949
Vincristine,RidgeCV,early_fusion,multiomics,1,expr,0.8706998557082314,0.3641288001175503
Vincristine,RidgeCV,early_fusion,multiomics,1,mut,0.9653785590658686,0.4037236644376547
Vincristine,RidgeCV,early_fusion,multiomics,2,cnv,0.502872321068999,0.22423637712041403
Vincristine,RidgeCV,early_fusion,multiomics,2,expr,0.8545350017621627,0.3810466889694693
Vincristine,RidgeCV,early_fusion,multiomics,2,mut,0.8851918821986212,0.3947169339101168
Vincristine,RidgeCV,early_fusion,multiomics,3,cnv,0.5310153182932926,0.23019583626359444
Vincristine,RidgeCV,early_fusion,multiomics,3,expr,0.8640536620805972,0.3745683946718203
Vincristine,RidgeCV,early_fusion,multiomics,3,mut,0.9117291221132181,0.3952357690645853
Vincristine,RidgeCV,early_fusion,multiomics,4,cnv,0.5166417062873258,0.22279754161733048
Vincristine,RidgeCV,early_fusion,multiomics,4,expr,0.8701369097776179,0.37523947836518295
Vincristine,RidgeCV,early_fusion,multiomics,4,mut,0.9321056163952695,0.40196298001748665
Vincristine,RidgeCV,early_fusion,multiomics,5,cnv,0.547341539033275,0.2342227977382264
Vincristine,RidgeCV,early_fusion,multiomics,5,expr,0.8790670886974927,0.3761774654961956
Vincristine,RidgeCV,early_fusion,multiomics,5,mut,0.910432808366321,0.38959973676557796
Vincristine,RidgeCV,signal_fusion,signal_multiomics,1,expr,1.2703309125522013,1.0
Vincristine,RidgeCV,signal_fusion,signal_multiomics,2,expr,1.2057171530962496,1.0
Vincristine,RidgeCV,signal_fusion,signal_multiomics,3,expr,1.253979623515894,1.0
Vincristine,RidgeCV,signal_fusion,signal_multiomics,4,expr,1.2713087515959016,1.0
Vincristine,RidgeCV,signal_fusion,signal_multiomics,5,expr,1.2559006559298729,1.0
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.5538629947550026,0.23086484681335334
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.863857648338423,0.3600788742718081
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.01854575734758101,0.007730365577105998
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.9628125515953015,0.4013259133377325
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,cnv,0.5018515321571934,0.22283020573992715
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,expr,0.8457037583406116,0.37550616146578
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,meta,0.02238662197686096,0.009940022618807899
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,2,mut,0.8822282118168391,0.39172361017548496
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,cnv,0.5294812406205953,0.22880629422208532
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,expr,0.8571397219057734,0.3703983226486765
Vincristine,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,3,meta,0.019506584485986477,0.008429438036250948
